eco,name,eco_group,moves,is_tracked_core,is_long_tail,model_tier
A17,English Opening: Anglo-Indian Defense,A,"c2c4,g8f6,b1c3,d7d5,c4d5,f6d5,g1f3,c7c5,e2e3,e7e6",False,False,3
A18,English Opening: Mikenas-Carls Variation,A,"c2c4,e7e6,b1c3,g8f6,e2e4",False,False,3
A19,"English Opening: Anglo-Indian Defense, Flohr-Mikenas-Carls Variation, Nei Gambit",A,"c2c4,e7e6,b1c3,g8f6,e2e4,c7c5,e4e5,f6g8",False,False,3
A20,English Opening: Drill Variation,A,"c2c4,e7e5,g2g3,h7h5",False,False,3
A21,English Opening: King's English Variation,A,"c2c4,e7e5,b1c3,d7d6,g1f3",False,False,3
A22,English Opening: Carls-Bremen System,A,"c2c4,e7e5,b1c3,g8f6,g2g3",False,False,3
A23,"English Opening: King's English Variation, Two Knights Variation, Keres Variation",A,"c2c4,e7e5,b1c3,g8f6,g2g3,c7c6",False,False,3
A24,"English Opening: King's English Variation, Two Knights Variation, Fianchetto Line",A,"c2c4,e7e5,b1c3,g8f6,g2g3,g7g6",False,False,3
A25,"English Opening: Closed, Taimanov Variation",A,"c2c4,e7e5,b1c3,b8c6,g2g3,g7g6,a1b1,g8h6,f1g2,f8g7",False,False,3
A26,"English Opening: King's English Variation, Botvinnik System",A,"c2c4,e7e5,b1c3,b8c6,g2g3,g7g6,f1g2,f8g7,d2d3,d7d6,e2e4",False,False,3
A27,"English Opening: King's English Variation, Three Knights System",A,"c2c4,e7e5,b1c3,b8c6,g1f3",False,False,3
A28,"English Opening: Four Knights System, Nimzowitsch Variation",A,"c2c4,e7e5,b1c3,g8f6,g1f3,b8c6,e2e4",False,False,3
A29,"English Opening: King's English Variation, Four Knights Variation, Fianchetto Line",A,"c2c4,e7e5,b1c3,g8f6,g1f3,b8c6,g2g3",False,False,3
A30,English Opening: Symmetrical Variation,A,"c2c4,c7c5",False,False,3
A31,"English Opening: Symmetrical Variation, Anti-Benoni Variation",A,"c2c4,g8f6,d2d4,c7c5,g1f3",False,False,3
A32,"English Opening: Symmetrical Variation, Anti-Benoni Variation, Spielmann Defense",A,"c2c4,e7e6,d2d4,c7c5,g1f3,c5d4,f3d4,g8f6",False,False,3
A33,"English Opening: Symmetrical Variation, Anti-Benoni Variation, Geller Variation",A,"c2c4,e7e6,g1f3,g8f6,b1c3,c7c5,d2d4,b8c6,g2g3,c5d4,f3d4,d8b6",False,False,3
A34,English Opening: Symmetrical Variation,A,"c2c4,c7c5,g1f3,g8f6,b1c3,b8c6,g2g3,d7d5,d2d4,c5d4",False,False,3
A35,English Opening: Symmetrical Variation,A,"c2c4,c7c5,b1c3,g8f6,g1f3,e7e5",False,False,3
A36,"English Opening: Symmetrical Variation, Botvinnik System",A,"c2c4,c7c5,e2e4,b8c6,b1c3,g7g6,g2g3,f8g7,f1g2",False,False,3
A37,"English Opening: Symmetrical Variation, Botvinnik System Reversed, with Nf3",A,"c2c4,c7c5,b1c3,b8c6,g2g3,g7g6,f1g2,f8g7,g1f3,e7e5",False,False,3
A38,"English Opening: Symmetrical Variation, Double Fianchetto",A,"c2c4,c7c5,b1c3,b8c6,g2g3,g7g6,f1g2,f8g7,g1f3,g8f6,e1g1,e8g8,b2b3",False,False,3
A39,"English Opening: Symmetrical Variation, Mecking Variation",A,"c2c4,g8f6,g1f3,c7c5,b1c3,b8c6,g2g3,g7g6,f1g2,f8g7,e1g1,e8g8,d2d4",False,False,3
A40,Australian Defense,A,"d2d4,b8a6",False,False,3
A41,Modern Defense,A,"d2d4,g7g6,c2c4,f8g7,b1c3,d7d6",False,False,3
A42,Modern Defense: Averbakh System,A,"d2d4,g7g6,c2c4,f8g7,b1c3,d7d6,e2e4",False,False,3
A43,Benoni Defense: Benoni Gambit Accepted,A,"d2d4,c7c5,d4c5",False,False,3
A44,Benoni Defense: Old Benoni,A,"d2d4,c7c5,d4d5,e7e5",False,False,3
A46,Döry Defense,A,"d2d4,g8f6,g1f3,f6e4",False,False,3
A47,Indian Defense: Schnepper Gambit,A,"d2d4,g8f6,g1f3,b7b6,c2c3,e7e5",False,False,3
A48,East Indian Defense,A,"d2d4,g8f6,g1f3,g7g6",False,False,3
A49,Indian Defense: Przepiorka Variation,A,"d2d4,g8f6,g1f3,g7g6,g2g3",False,False,3
A50,Indian Defense: Medusa Gambit,A,"d2d4,g8f6,c2c4,g7g5",False,False,3
A51,Indian Defense: Budapest Defense,A,"d2d4,g8f6,c2c4,e7e5",False,False,3
A52,Indian Defense: Budapest Defense,A,"d2d4,g8f6,c2c4,e7e5,d4e5,f6g4",False,False,3
A53,Old Indian Defense,A,"d2d4,g8f6,c2c4,d7d6",False,False,3
A54,Old Indian Defense: Duz-Khotimirsky Variation,A,"d2d4,g8f6,c2c4,d7d6,b1c3,e7e5,e2e3,b8d7,f1d3",False,False,3
A55,Old Indian Defense: Normal Variation,A,"d2d4,g8f6,c2c4,d7d6,b1c3,b8d7,e2e4,e7e5,g1f3",False,False,3
A56,Benoni Defense,A,"d2d4,g8f6,c2c4,c7c5",False,False,3
A57,Benko Gambit,A,"d2d4,g8f6,c2c4,c7c5,d4d5,b7b5",False,False,3
A58,Benko Gambit Accepted: Central Storming Variation,A,"d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,a7a6,b5a6,g7g6,b1c3,c8a6,f2f4",False,False,3
A59,Benko Gambit,A,"d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,a7a6,b5a6,g7g6,b1c3,c8a6,e2e4,a6f1,e1f1,d7d6,g2g3",False,False,3
A60,Benoni Defense: Modern Variation,A,"d2d4,g8f6,c2c4,c7c5,d4d5,e7e6",False,False,3
A61,Benoni Defense,A,"d2d4,g8f6,c2c4,e7e6,g1f3,c7c5,d4d5,e6d5,c4d5,d7d6,b1c3,g7g6",False,False,3
A62,Benoni Defense: Fianchetto Variation,A,"d2d4,g8f6,c2c4,e7e6,g2g3,c7c5,d4d5,e6d5,c4d5,d7d6,b1c3,g7g6,f1g2,f8g7,g1f3,e8g8",False,False,3
A63,"Benoni Defense: Fianchetto Variation, Hastings Defense",A,"d2d4,g8f6,c2c4,e7e6,g2g3,c7c5,d4d5,e6d5,c4d5,d7d6,b1c3,g7g6,f1g2,f8g7,g1f3,e8g8,e1g1,b8d7",False,False,3
A64,"Benoni Defense: Fianchetto Variation, Hastings Defense, Main Line",A,"d2d4,g8f6,c2c4,e7e6,g2g3,c7c5,d4d5,e6d5,c4d5,d7d6,b1c3,g7g6,f1g2,f8g7,g1f3,e8g8,e1g1,a7a6,a2a4,b8d7,f3d2,f8e8",False,False,3
A65,Benoni Defense: King's Pawn Line,A,"d2d4,g8f6,c2c4,c7c5,d4d5,e7e6,b1c3,e6d5,c4d5,d7d6,e2e4",False,False,3
A66,Benoni Defense: Mikenas Variation,A,"d2d4,g8f6,c2c4,c7c5,d4d5,e7e6,b1c3,e6d5,c4d5,d7d6,e2e4,g7g6,f2f4,f8g7,e4e5",False,False,3
A67,Benoni Defense: Taimanov Variation,A,"d2d4,g8f6,c2c4,c7c5,d4d5,e7e6,b1c3,e6d5,c4d5,d7d6,e2e4,g7g6,f2f4,f8g7,f1b5",False,False,3
A68,Benoni Defense: Four Pawns Attack,A,"d2d4,g8f6,c2c4,c7c5,d4d5,e7e6,b1c3,e6d5,c4d5,d7d6,e2e4,g7g6,f2f4,f8g7,g1f3,e8g8",False,False,3
A69,"Benoni Defense: Four Pawns Attack, Main Line",A,"d2d4,g8f6,c2c4,c7c5,d4d5,e7e6,b1c3,e6d5,c4d5,d7d6,e2e4,g7g6,f2f4,f8g7,g1f3,e8g8,f1e2,f8e8",False,False,3
A70,Benoni Defense: Classical Variation,A,"d2d4,g8f6,c2c4,e7e6,g1f3,c7c5,d4d5,e6d5,c4d5,d7d6,b1c3,g7g6,e2e4",False,False,3
A71,"Benoni Defense: Classical Variation, Averbakh-Grivas Attack",A,"d2d4,g8f6,c2c4,e7e6,g1f3,c7c5,d4d5,e6d5,c4d5,d7d6,b1c3,g7g6,e2e4,f8g7,c1g5",False,False,3
A72,Benoni Defense: Classical Variation,A,"d2d4,g8f6,c2c4,c7c5,d4d5,e7e6,b1c3,e6d5,c4d5,d7d6,e2e4,g7g6,g1f3,f8g7,f1e2,e8g8",False,False,3
A73,"Benoni Defense: Classical Variation, Main Line",A,"d2d4,g8f6,c2c4,c7c5,d4d5,e7e6,b1c3,e6d5,c4d5,d7d6,e2e4,g7g6,g1f3,f8g7,f1e2,e8g8,e1g1",False,False,3
A74,"Benoni Defense: Classical Variation, Full Line",A,"d2d4,g8f6,c2c4,c7c5,d4d5,e7e6,b1c3,e6d5,c4d5,d7d6,e2e4,g7g6,g1f3,f8g7,f1e2,e8g8,e1g1,a7a6,a2a4",False,False,3
A75,"Benoni Defense: Classical Variation, Argentine Counterattack",A,"d2d4,g8f6,c2c4,e7e6,g1f3,c7c5,d4d5,e6d5,c4d5,d7d6,b1c3,g7g6,e2e4,f8g7,f1e2,e8g8,e1g1,a7a6,a2a4,c8g4",False,False,3
A76,"Benoni Defense: Classical Variation, Czerniak Defense",A,"d2d4,g8f6,c2c4,c7c5,d4d5,e7e6,b1c3,e6d5,c4d5,d7d6,e2e4,g7g6,g1f3,f8g7,f1e2,e8g8,e1g1,f8e8",False,False,3
A77,"Benoni Defense: Classical Variation, Czerniak Defense, Tal Line",A,"d2d4,g8f6,c2c4,c7c5,d4d5,e7e6,b1c3,e6d5,c4d5,d7d6,e2e4,g7g6,g1f3,f8g7,f1e2,e8g8,e1g1,f8e8,f3d2",False,False,3
A78,"Benoni Defense: Classical Variation, Czerniak Defense",A,"d2d4,g8f6,c2c4,e7e6,g1f3,c7c5,d4d5,e6d5,c4d5,d7d6,b1c3,g7g6,e2e4,f8g7,f1e2,e8g8,e1g1,f8e8,f3d2,b8a6",False,False,3
A79,"Benoni Defense: Classical Variation, Czerniak Defense",A,"d2d4,g8f6,c2c4,c7c5,d4d5,e7e6,b1c3,e6d5,c4d5,d7d6,e2e4,g7g6,g1f3,f8g7,f1e2,e8g8,e1g1,f8e8,f3d2,b8a6,f2f3",False,False,3
A80,Dutch Defense,A,"d2d4,f7f5",False,False,3
A81,Dutch Defense: Blackburne Variation,A,"d2d4,f7f5,g2g3,g8f6,f1g2,e7e6,g1h3",False,False,3
A82,Dutch Defense: Blackmar's Second Gambit,A,"d2d4,f7f5,e2e4,f5e4,b1c3,g8f6,f2f3",False,False,3
A83,Dutch Defense: Staunton Gambit,A,"d2d4,f7f5,e2e4,f5e4,b1c3,g8f6,c1g5",False,False,3
A84,Dutch Defense,A,"d2d4,f7f5,c2c4",False,False,3
A85,Dutch Defense: Queen's Knight Variation,A,"d2d4,f7f5,c2c4,g8f6,b1c3",False,False,3
A86,Dutch Defense: Fianchetto Variation,A,"d2d4,f7f5,c2c4,g8f6,g2g3",False,False,3
A87,Dutch Defense: Leningrad Variation,A,"d2d4,f7f5,c2c4,g8f6,g2g3,g7g6,f1g2,f8g7,g1f3",False,False,3
A88,"Dutch Defense: Leningrad Variation, Warsaw Variation",A,"d2d4,f7f5,g2g3,g8f6,f1g2,g7g6,g1f3,f8g7,e1g1,e8g8,c2c4,d7d6,b1c3,c7c6",False,False,3
A89,"Dutch Defense: Leningrad Variation, Matulovic Variation",A,"d2d4,f7f5,g2g3,g8f6,f1g2,g7g6,g1f3,f8g7,e1g1,e8g8,c2c4,d7d6,b1c3,b8c6",False,False,3
A90,Dutch Defense: Classical Variation,A,"d2d4,f7f5,c2c4,g8f6,g2g3,e7e6,f1g2",False,False,3
A91,Dutch Defense: Classical Variation,A,"d2d4,f7f5,c2c4,g8f6,g2g3,e7e6,f1g2,f8e7",False,False,3
A92,Dutch Defense: Alekhine Variation,A,"d2d4,f7f5,c2c4,g8f6,g2g3,e7e6,f1g2,f8e7,g1f3,e8g8,e1g1,f6e4",False,False,3
A93,"Dutch Defense: Stonewall Variation, Botvinnik Variation",A,"d2d4,f7f5,c2c4,g8f6,g2g3,e7e6,f1g2,f8e7,g1f3,e8g8,e1g1,d7d5,b2b3",False,False,3
A94,Dutch Defense: Stonewall Variation,A,"d2d4,f7f5,c2c4,g8f6,g2g3,e7e6,f1g2,f8e7,g1f3,e8g8,e1g1,d7d5,b2b3,c7c6,c1a3",False,False,3
A95,Dutch Defense: Stonewall Variation,A,"d2d4,f7f5,c2c4,g8f6,g2g3,e7e6,f1g2,f8e7,g1f3,e8g8,e1g1,d7d5,b1c3,c7c6",False,False,3
A96,Dutch Defense: Classical Variation,A,"d2d4,f7f5,c2c4,g8f6,g2g3,e7e6,f1g2,f8e7,g1f3,e8g8,e1g1,d7d6",False,False,3
A97,"Dutch Defense: Classical Variation, Ilyin-Zhenevsky Variation",A,"d2d4,f7f5,c2c4,g8f6,g2g3,e7e6,f1g2,f8e7,g1f3,e8g8,e1g1,d7d6,b1c3,d8e8",False,False,3
A98,"Dutch Defense: Classical Variation, Ilyin-Zhenevsky Variation, Alatortsev-Lisitsyn Line",A,"d2d4,f7f5,c2c4,g8f6,g2g3,e7e6,f1g2,f8e7,g1f3,e8g8,e1g1,d7d6,b1c3,d8e8,d1c2",False,False,3
A99,"Dutch Defense: Classical Variation, Ilyin-Zhenevsky Variation, Modern Main Line",A,"d2d4,f7f5,c2c4,g8f6,g2g3,e7e6,f1g2,f8e7,g1f3,e8g8,e1g1,d7d6,b1c3,d8e8,b2b3",False,False,3
B00,Barnes Defense,B,"e2e4,f7f6",False,False,3
B02,Alekhine Defense,B,"e2e4,g8f6",False,False,3
B03,Alekhine Defense,B,"e2e4,g8f6,e4e5,f6d5,d2d4",False,False,3
B04,Alekhine Defense: Modern Variation,B,"e2e4,g8f6,e4e5,f6d5,d2d4,d7d6,g1f3",False,False,3
B05,"Alekhine Defense: Modern Variation, Alekhine Variation",B,"e2e4,g8f6,e4e5,f6d5,d2d4,d7d6,g1f3,c8g4,c2c4",False,False,3
B08,Pirc Defense: Classical Variation,B,"e2e4,d7d6,d2d4,g8f6,b1c3,g7g6,g1f3",False,False,3
B09,Pirc Defense: Austrian Attack,B,"e2e4,d7d6,d2d4,g8f6,b1c3,g7g6,f2f4",False,False,3
B10,Caro-Kann Defense,B,"e2e4,c7c6",False,False,3
B11,"Caro-Kann Defense: Two Knights Attack, Mindeno Variation",B,"e2e4,c7c6,b1c3,d7d5,g1f3,c8g4",False,False,3
B13,Caro-Kann Defense: Exchange Variation,B,"e2e4,c7c6,d2d4,d7d5,e4d5",False,False,3
B14,Caro-Kann Defense: Panov Attack,B,"e2e4,c7c6,d2d4,d7d5,e4d5,c6d5,c2c4,g8f6,b1c3,e7e6",False,False,3
B15,Caro-Kann Defense,B,"e2e4,c7c6,d2d4,d7d5,b1c3",False,False,3
B16,Caro-Kann Defense: Bronstein-Larsen Variation,B,"e2e4,c7c6,d2d4,d7d5,b1c3,d5e4,c3e4,g8f6,e4f6,g7f6",False,False,3
B17,Caro-Kann Defense: Karpov Variation,B,"e2e4,c7c6,d2d4,d7d5,b1d2,d5e4,d2e4,b8d7",False,False,3
B18,Caro-Kann Defense: Classical Variation,B,"e2e4,c7c6,d2d4,d7d5,b1d2,d5e4,d2e4,c8f5",False,False,3
B19,Caro-Kann Defense: Classical Variation,B,"e2e4,c7c6,d2d4,d7d5,b1d2,d5e4,d2e4,c8f5,e4g3,f5g6,h2h4,h7h6,g1f3,b8d7",False,False,3
B21,"Bird Opening: Dutch Variation, Batavo Gambit",B,"e2e4,c7c5,f2f4,d7d5,g1f3,d5e4",False,False,3
B22,Sicilian Defense: Alapin Variation,B,"e2e4,c7c5,c2c3",False,False,3
B23,Sicilian Defense: Closed,B,"e2e4,c7c5,b1c3",False,False,3
B24,Sicilian Defense: Closed,B,"e2e4,c7c5,b1c3,b8c6,g2g3,g7g6",False,False,3
B25,Sicilian Defense: Closed,B,"e2e4,c7c5,b1c3,b8c6,g2g3,g7g6,f1g2,f8g7,d2d3,d7d6",False,False,3
B26,Sicilian Defense: Closed,B,"e2e4,c7c5,b1c3,b8c6,g2g3,g7g6,f1g2,f8g7,d2d3,d7d6,c1e3",False,False,3
B27,Modern Defense: Pterodactyl Variation,B,"e2e4,c7c5,g1f3,g7g6,d2d4,f8g7,b1c3,d8a5",False,False,3
B28,Sicilian Defense: O'Kelly Variation,B,"e2e4,c7c5,g1f3,a7a6",False,False,3
B29,Sicilian Defense: Nimzowitsch Variation,B,"e2e4,c7c5,g1f3,g8f6",False,False,3
B30,"Sicilian Defense: Closed, Anti-Sveshnikov Variation",B,"e2e4,c7c5,g1f3,b8c6,b1c3,e7e5",False,False,3
B31,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",B,"e2e4,c7c5,g1f3,b8c6,f1b5,g7g6",False,False,3
B32,Sicilian Defense: Accelerated Dragon,B,"e2e4,c7c5,g1f3,b8c6,d2d4,c5d4,f3d4,g7g6",False,False,3
B33,Sicilian Defense: Lasker-Pelikan Variation,B,"e2e4,c7c5,g1f3,b8c6,d2d4,c5d4,f3d4,g8f6,b1c3,e7e5",False,False,3
B34,"Sicilian Defense: Accelerated Dragon, Exchange Variation",B,"e2e4,c7c5,g1f3,b8c6,d2d4,c5d4,f3d4,g7g6,d4c6",False,False,3
B35,"Sicilian Defense: Accelerated Dragon, Modern Bc4 Variation",B,"e2e4,c7c5,g1f3,b8c6,d2d4,c5d4,f3d4,g7g6,b1c3,f8g7,c1e3,g8f6,f1c4",False,False,3
B36,"Sicilian Defense: Accelerated Dragon, Maróczy Bind",B,"e2e4,c7c5,g1f3,b8c6,d2d4,c5d4,f3d4,g7g6,c2c4",False,False,3
B37,"Sicilian Defense: Accelerated Dragon, Maróczy Bind",B,"e2e4,c7c5,g1f3,b8c6,d2d4,c5d4,f3d4,g7g6,c2c4,f8g7",False,False,3
B38,"Sicilian Defense: Accelerated Dragon, Maróczy Bind",B,"e2e4,c7c5,g1f3,b8c6,d2d4,c5d4,f3d4,g7g6,c2c4,f8g7,c1e3",False,False,3
B39,"Sicilian Defense: Accelerated Dragon, Maróczy Bind, Breyer Variation",B,"e2e4,c7c5,g1f3,b8c6,d2d4,c5d4,f3d4,g7g6,c2c4,f8g7,c1e3,g8f6,b1c3,f6g4",False,False,3
B40,"Sicilian Defense: Alapin Variation, Sherzer Variation",B,"e2e4,c7c5,g1f3,e7e6,c2c3,g8f6,e4e5,f6d5,d2d4,b8c6",False,False,3
B41,Sicilian Defense: Kan Variation,B,"e2e4,c7c5,g1f3,e7e6,d2d4,c5d4,f3d4,a7a6",False,False,3
B42,"Sicilian Defense: Kan Variation, Gipslis Variation",B,"e2e4,c7c5,g1f3,e7e6,d2d4,c5d4,f3d4,a7a6,f1d3,g8f6,e1g1,d7d6,c2c4,g7g6",False,False,3
B43,"Sicilian Defense: Kan Variation, Knight Variation",B,"e2e4,c7c5,g1f3,e7e6,d2d4,c5d4,f3d4,a7a6,b1c3",False,False,3
B44,Sicilian Defense: Taimanov Variation,B,"e2e4,c7c5,g1f3,e7e6,d2d4,c5d4,f3d4,b8c6",False,False,3
B45,Sicilian Defense: Four Knights Variation,B,"e2e4,c7c5,g1f3,e7e6,d2d4,c5d4,f3d4,b8c6,b1c3,g8f6",False,False,3
B46,Sicilian Defense: Taimanov Variation,B,"e2e4,c7c5,g1f3,e7e6,d2d4,c5d4,f3d4,b8c6,b1c3,a7a6",False,False,3
B47,"Sicilian Defense: Taimanov Variation, Bastrikov Variation",B,"e2e4,c7c5,g1f3,e7e6,d2d4,c5d4,f3d4,b8c6,b1c3,d8c7",False,False,3
B48,"Sicilian Defense: Taimanov Variation, Bastrikov Variation, English Attack",B,"e2e4,c7c5,g1f3,e7e6,d2d4,c5d4,f3d4,b8c6,b1c3,d8c7,c1e3",False,False,3
B49,"Sicilian Defense: Taimanov Variation, Bastrikov Variation",B,"e2e4,c7c5,g1f3,e7e6,d2d4,c5d4,f3d4,b8c6,b1c3,d8c7,c1e3,a7a6,f1e2",False,False,3
B50,Sicilian Defense,B,"e2e4,c7c5,g1f3,d7d6,d2d4",False,False,3
B51,Sicilian Defense: Moscow Variation,B,"e2e4,c7c5,g1f3,d7d6,f1b5",False,False,3
B52,"Sicilian Defense: Moscow Variation, Haag Gambit",B,"e2e4,c7c5,g1f3,d7d6,f1b5,c8d7,b5d7,d8d7,e1g1,b8c6,c2c3,g8f6,d2d4",False,False,3
B53,Sicilian Defense: Chekhover Variation,B,"e2e4,c7c5,g1f3,d7d6,d2d4,c5d4,d1d4",False,False,3
B54,"Sicilian Defense: Dragon Variation, Accelerated Dragon",B,"e2e4,c7c5,g1f3,d7d6,d2d4,c5d4,f3d4,g7g6",False,False,3
B55,"Sicilian Defense: Prins Variation, Venice Attack",B,"e2e4,c7c5,g1f3,d7d6,d2d4,c5d4,f3d4,g8f6,f2f3,e7e5,f1b5",False,False,3
B56,Sicilian Defense: Classical Variation,B,"e2e4,c7c5,g1f3,d7d6,d2d4,c5d4,f3d4,g8f6,b1c3,b8c6",False,False,3
B57,"Sicilian Defense: Classical Variation, Anti-Sozin Variation",B,"e2e4,c7c5,g1f3,b8c6,d2d4,c5d4,f3d4,g8f6,b1c3,d7d6,f1c4,d8b6",False,False,3
B58,Sicilian Defense: Boleslavsky Variation,B,"e2e4,c7c5,g1f3,d7d6,d2d4,c5d4,f3d4,g8f6,b1c3,b8c6,f1e2,e7e5",False,False,3
B59,Sicilian Defense: Boleslavsky Variation,B,"e2e4,c7c5,g1f3,b8c6,d2d4,c5d4,f3d4,g8f6,b1c3,d7d6,f1e2,e7e5,d4b3",False,False,3
B60,Sicilian Defense: Richter-Rauzer Variation,B,"e2e4,c7c5,g1f3,d7d6,d2d4,c5d4,f3d4,g8f6,b1c3,b8c6,c1g5",False,False,3
B61,"Sicilian Defense: Richter-Rauzer Variation, Modern Variation",B,"e2e4,c7c5,g1f3,b8c6,d2d4,c5d4,f3d4,g8f6,b1c3,d7d6,c1g5,c8d7,d1d2",False,False,3
B62,Sicilian Defense: Richter-Rauzer Variation,B,"e2e4,c7c5,g1f3,d7d6,d2d4,c5d4,f3d4,g8f6,b1c3,b8c6,c1g5,e7e6",False,False,3
B63,"Sicilian Defense: Richter-Rauzer Variation, Classical Variation",B,"e2e4,c7c5,g1f3,d7d6,d2d4,c5d4,f3d4,g8f6,b1c3,b8c6,c1g5,e7e6,d1d2,f8e7",False,False,3
B64,"Sicilian Defense: Richter-Rauzer Variation, Classical Variation",B,"e2e4,c7c5,g1f3,b8c6,d2d4,c5d4,f3d4,g8f6,b1c3,d7d6,c1g5,e7e6,d1d2,f8e7,e1c1,e8g8,f2f4,e6e5",False,False,3
B65,"Sicilian Defense: Richter-Rauzer Variation, Classical Variation",B,"e2e4,c7c5,g1f3,d7d6,d2d4,c5d4,f3d4,g8f6,b1c3,b8c6,c1g5,e7e6,d1d2,f8e7,e1c1,e8g8,f2f4,c6d4,d2d4",False,False,3
B66,"Sicilian Defense: Richter-Rauzer Variation, Neo-Modern Variation, Early Deviations",B,"e2e4,c7c5,g1f3,d7d6,d2d4,c5d4,f3d4,g8f6,b1c3,b8c6,c1g5,e7e6,d1d2,a7a6",False,False,3
B67,"Sicilian Defense: Richter-Rauzer Variation, Neo-Modern Variation",B,"e2e4,c7c5,g1f3,b8c6,d2d4,c5d4,f3d4,g8f6,b1c3,d7d6,c1g5,e7e6,d1d2,a7a6,e1c1,c8d7",False,False,3
B68,"Sicilian Defense: Richter-Rauzer Variation, Neo-Modern Variation",B,"e2e4,c7c5,g1f3,b8c6,d2d4,c5d4,f3d4,g8f6,b1c3,d7d6,c1g5,e7e6,d1d2,a7a6,e1c1,c8d7,f2f4,f8e7",False,False,3
B69,"Sicilian Defense: Richter-Rauzer Variation, Neo-Modern Variation, Nyezhmetdinov Attack",B,"e2e4,c7c5,g1f3,b8c6,d2d4,c5d4,f3d4,g8f6,b1c3,d7d6,c1g5,e7e6,d1d2,a7a6,e1c1,c8d7,f2f4,f8e7,d4f3,b7b5,g5f6",False,False,3
B70,Sicilian Defense: Dragon Variation,B,"e2e4,c7c5,g1f3,d7d6,d2d4,c5d4,f3d4,g8f6,b1c3,g7g6",False,False,3
B71,"Sicilian Defense: Dragon Variation, Levenfish Variation",B,"e2e4,c7c5,g1f3,d7d6,d2d4,c5d4,f3d4,g8f6,b1c3,g7g6,f2f4",False,False,3
B72,Sicilian Defense: Dragon Variation,B,"e2e4,c7c5,g1f3,d7d6,d2d4,c5d4,f3d4,g8f6,b1c3,g7g6,c1e3",False,False,3
B73,"Sicilian Defense: Dragon Variation, Classical Variation",B,"e2e4,c7c5,g1f3,d7d6,d2d4,c5d4,f3d4,g8f6,b1c3,g7g6,f1e2,f8g7,e1g1,b8c6,c1e3",False,False,3
